tgl,Belawan,Tanjung Priok,Tanjung Perak,Makassar
01/01/2006,655860,1521714,1514639,423462
02/01/2006,617021,1282590,1401078,494681
03/01/2006,672687,1873289,1417401,465911
04/01/2006,537483,1496808,1219032,455542
05/01/2006,703413,1698863,1768604,466169
06/01/2006,655432,1418746,1702279,456464
07/01/2006,653137,1638296,1403033,476291
08/01/2006,653191,1837938,2375077,526576
09/01/2006,615841,1773447,2261211,491683
10/01/2006,611356,1684822,2216985,444199
11/01/2006,589003,1915139,1618828,506227
12/01/2006,534153,1827374,2247062,529100
01/01/2007,658194,1413524,2268737,463391
02/01/2007,658319,1553993,2205774,453572
03/01/2007,598506,1715949,2037060,487460
04/01/2007,652636,1983429,2073503,534831
05/01/2007,685070,1844511,1854587,475899
06/01/2007,572678,1862763,1999242,497367
07/01/2007,735058,2330954,2136156,569292
08/01/2007,626803,1993410,2214029,549175
09/01/2007,732572,2200794,2525251,572764
10/01/2007,660186,1861140,1678160,463079
11/01/2007,827639,1873138,2316710,630706
12/01/2007,809197,1999734,2104426,470792
01/01/2008,761332,1942148,1380424,702980
02/01/2008,876633,1834310,1542204,685618
03/01/2008,698873,2089761,1393909,668385
04/01/2008,775167,2367672,1667818,871034
05/01/2008,854083,2445178,1387274,713733
06/01/2008,937838,1897728,1502484,701594
07/01/2008,943019,2097600,1577696,783030
08/01/2008,799480,2220852,1605404,603907
09/01/2008,697787,2026760,1487025,464147
10/01/2008,680606,1742874,1248474,572492
11/01/2008,759298,1758128,1568391,721139
12/01/2008,672061,1788892,1548888,798794
01/01/2009,608536,1812236,1354834,625703
02/01/2009,666029,1875042,1316398,648290
03/01/2009,623287,2006780,1277757,666724
04/01/2009,709951,1777973,1327755,938180
05/01/2009,767625,1959011,1286180,879147
06/01/2009,863315,1930273,1436685,1100932
07/01/2009,844412,2189293,1455267,968395
08/01/2009,806542,2098790,1597298,956464
09/01/2009,696849,1733962,1382925,812449
10/01/2009,739708,1898151,1277757,936132
11/01/2009,675765,1991431,1572311,869337
12/01/2009,741383,2220884,1309649,983140
01/01/2010,571341,1855227,1365197,867307
02/01/2010,659608,1802868,1571104,1405315
03/01/2010,686107,1980803,1271578,1036945
04/01/2010,618813,2139733,1386125,1073491
05/01/2010,607650,2244000,1343507,1193123
06/01/2010,652191,2284315,1552915,951022
07/01/2010,711581,2126684,1374272,855654
08/01/2010,692100,2392297,1309640,909216
09/01/2010,625680,1756892,1202405,971423
10/01/2010,716358,2201890,1380096,1083466
11/01/2010,695787,2086250,1408513,1153279
12/01/2010,677281,1961554,1490813,1079374
01/01/2011,630735,2065833,1116530,779698
02/01/2011,513002,2040443,1107248,801534
03/01/2011,664417,2519082,925379,916080
04/01/2011,678826,2566781,807339,834489
05/01/2011,704977,2642166,612695,789023
06/01/2011,789483,2430138,679306,807086
07/01/2011,873776,2798609,1582293,886604
08/01/2011,570882,2341443,979972,880746
09/01/2011,570630,2508364,897424,800677
10/01/2011,576016,2806416,1035317,993697
11/01/2011,823149,2785871,978543,969604
12/01/2011,639745,2911352,960145,957426
01/01/2012,624523,2746888,867028,1002047
02/01/2012,580522,2709663,930777,925057
03/01/2012,635154,2827061,844833,912946
04/01/2012,695996,2657643,982032,983143
05/01/2012,565350,2818377,1162726,1043968
06/01/2012,757014,2714274,961310,949713
07/01/2012,754515,2805956,1078226,1095903
08/01/2012,467765,2314320,1013729,968320
09/01/2012,626248,2608656,882793,1007025
10/01/2012,731700,2831599,1051635,913008
11/01/2012,772693,2558645,936104,987672
12/01/2012,575473,2564813,1045100,994511
01/01/2013,624086,2348605,904233,786083
02/01/2013,569429,2645575,822927,908612
03/01/2013,643379,2491951,716354,934501
04/01/2013,731997,2425497,954057,1013512
05/01/2013,550146,2324904,891297,889661
06/01/2013,796706,3054273,820657,896829
07/01/2013,617901,2757769,1089148,977290
08/01/2013,461402,2004304,620860,724669
09/01/2013,477403,2749988,959158,1075821
10/01/2013,527449,2869720,867005,957049
11/01/2013,662566,2683279,951794,920948
12/01/2013,565337,2581082,1366076,835237
01/01/2014,468287,2083804,699100,844316
02/01/2014,571208,2432415,736948,786563
03/01/2014,642795,2537420,958648,1005895
04/01/2014,642388,2907980,915233,881027
05/01/2014,478752,2423101,905980,934937
06/01/2014,553181,2306141,1061227,844197
07/01/2014,429724,1916073,780776,805592
08/01/2014,255606,2040575,791985,783905
09/01/2014,426286,2644106,1026603,949388
10/01/2014,437751,2956385,953655,959697
11/01/2014,445594,2293368,895987,939706
12/01/2014,454159,2273690,1499737,958440
01/01/2015,418607,1862426,915790,777487
02/01/2015,310832,1792283,791810,794669
03/01/2015,385277,2411098,819969,831907
04/01/2015,348264,2369244,1025073,784178
05/01/2015,341654,2490761,869150,911164
06/01/2015,337893,2288408,982155,832987
07/01/2015,290466,1883061,645517,651639
08/01/2015,383933,2203116,858904,860771
09/01/2015,242551,2616168,785337,801951
10/01/2015,321298,2544574,838909,889771
11/01/2015,391746,2664871,1064123,777847
12/01/2015,317671,3136044,1055052,862192
01/01/2016,350495,1910878,713831,817796
02/01/2016,330898,2550217,803016,787795
03/01/2016,409170,2283609,1028366,826724
04/01/2016,331968,2371931,869049,783873
05/01/2016,391139,2398715,796435,843731
06/01/2016,320323,2518136,932542,792334
07/01/2016,205320,1430638,589461,561868
08/01/2016,325401,2222437,980985,820531
09/01/2016,271749,2116527,920421,877447
10/01/2016,321573,2360121,1017184,793728
11/01/2016,359944,2440079,1133848,865289
12/01/2016,353205,2461571,903004,816127
01/01/2017,344908,1666253,1018012,763679
02/01/2017,375494,2128992,777258,821506
03/01/2017,596819,2215173,868734,843687
04/01/2017,521148,2224026,747334,847743
05/01/2017,497821,2234625,1251486,801042
06/01/2017,360074,1775837,1045167,675989
07/01/2017,519447,1433511,970806,740028
08/01/2017,397806,2215045,1127453,807651
09/01/2017,353665,2367966,1369261,740038
10/01/2017,298701,2506729,1178977,796400
11/01/2017,450013,2529015,1307553,961956
12/01/2017,423443,2338701,1344212,869288
01/01/2018,164851,2065048,837514,854931
02/01/2018,126939,2332255,934756,806804
03/01/2018,195447,2347950,1081979,887394
04/01/2018,246742,2909703,925925,904320
05/01/2018,189710,2407562,1078072,873109
06/01/2018,166159,1647797,642654,614751
07/01/2018,303780,2107377,715564,946031
08/01/2018,356361,1834477,971367,841057
09/01/2018,215429,1519792,951053,796400
10/01/2018,345588,2349767,522335,917952
11/01/2018,334866,2000151,431526,931227
12/01/2018,367212,2502699,626176,673865
01/01/2019,2027570,1782690,763726,955433
02/01/2019,1394940,2357625,963027,850568
03/01/2019,1681223,2322323,778714,905635
04/01/2019,5102266,2255435,905739,797987
05/01/2019,358925,2247414,977542,939895
06/01/2019,146661,1491504,730731,511833
07/01/2019,224697,2218937,1042085,920584
08/01/2019,174212,2025535,1222886,900067
09/01/2019,183727,2124941,1006624,915611
10/01/2019,203797,2214079,863922,977696
11/01/2019,249736,2168050,1228228,929802
12/01/2019,231514,2433573,1055338,871776
01/01/2020,237082,1555404,302239,893115
02/01/2020,159124,1999836,908104,730539
