tgl,Belawan,Tanjung Priok,Tanjung Perak,Balikpapan,Makassar
2006-01-01,610644,1117078,961522,924719,233852
2006-02-01,572234,894915,805570,611667,252455
2006-03-01,610668,1305580,759429,728115,247506
2006-04-01,492913,1077441,633536,679334,207657
2006-05-01,658435,1224259,832729,756491,259356
2006-06-01,609337,953162,875302,531242,234658
2006-07-01,606350,1145766,667937,876392,278980
2006-08-01,615215,1300726,1177654,691453,305820
2006-09-01,567447,1184112,1101502,118429,299249
2006-10-01,566593,1277330,1118347,756674,268643
2006-11-01,547444,1292991,717150,999397,249419
2006-12-01,502695,1247252,1007679,919314,345845
2007-01-01,604729,1030053,1209631,478125,276336
2007-02-01,517758,1125738,1025642,786322,268438
2007-03-01,548529,1148310,1019463,597361,268877
2007-04-01,610150,1360337,995621,376682,293855
2007-05-01,636042,1271363,822050,576598,233112
2007-06-01,511983,1308546,939527,664250,271533
2007-07-01,635837,1750545,926160,766844,333758
2007-08-01,557460,1335672,970875,1186287,313676
2007-09-01,604425,1510592,1194459,1050972,308108
2007-10-01,572209,1350613,790748,550479,270559
2007-11-01,715583,1236705,1056905,1207674,330510
2007-12-01,727867,1380263,852258,552500,292347
2008-01-01,674107,1343189,674444,596682,409715
2008-02-01,754770,1320841,838581,812054,413862
2008-03-01,636434,1484393,643640,645543,357543
2008-04-01,706487,1718748,788310,94372,455031
2008-05-01,773367,1748982,649430,840227,407724
2008-06-01,827484,1188043,690817,698757,448635
2008-07-01,815580,1406270,700659,889946,469321
2008-08-01,695351,1526687,724635,1060931,374656
2008-09-01,585513,1415276,674366,378110,293428
2008-10-01,593422,1192465,624336,796406,377899
2008-11-01,629836,1218572,696519,902838,449118
2008-12-01,577007,1297316,741246,841231,535849
2009-01-01,523122,1236056,619049,707088,367113
2009-02-01,592292,1317001,536780,636326,437107
2009-03-01,538999,1406584,575137,792064,442385
2009-04-01,599856,1229790,656223,805453,553207
2009-05-01,659214,1210680,554658,658207,536354
2009-06-01,726314,1160300,761679,601195,667623
2009-07-01,729262,1364894,713008,700842,644814
2009-08-01,693100,1283725,775614,464238,604863
2009-09-01,608994,1231075,688544,686013,558691
2009-10-01,644785,1196447,575137,553479,615696
2009-11-01,584260,1169652,729832,428280,608597
2009-12-01,627014,1346347,579961,568602,636886
2010-01-01,475286,1095320,645139,328783,595879
2010-02-01,572788,1063536,847066,362800,966994
2010-03-01,610228,1202542,632112,339970,644276
2010-04-01,552434,1334954,711874,343851,642052
2010-05-01,516170,1398842,625141,348874,722431
2010-06-01,555278,1314759,838928,344232,598331
2010-07-01,584333,1343567,640899,345652,497958
2010-08-01,589427,1446787,608788,346252,553845
2010-09-01,547123,1064924,647371,345379,598854
2010-10-01,617787,1376938,661733,694565,690271
2010-11-01,608970,1271847,629050,663123,763340
2010-12-01,555713,1017460,769711,731640,703876
2011-01-01,543124,1233726,379456,624924,521121
2011-02-01,445154,1173989,457385,824258,535881
2011-03-01,538424,1380057,336146,1074867,537234
2011-04-01,591145,1485993,349505,886081,504277
2011-05-01,615936,1575302,239542,815919,494683
2011-06-01,665576,1385658,157561,1021202,483574
2011-07-01,715010,1635652,1034838,586689,558091
2011-08-01,505252,1370281,479705,640069,518338
2011-09-01,509961,1446006,498920,913052,438883
2011-10-01,520553,1644579,500484,893332,613546
2011-11-01,736289,1635081,456643,1055018,582476
2011-12-01,550921,1609027,440464,846595,638923
2012-01-01,563054,1578387,390000,928588,555537
2012-02-01,524138,1533816,436022,840425,566469
2012-03-01,554425,1579753,379263,924429,550467
2012-04-01,619943,1427235,456766,826077,615894
2012-05-01,485458,1498605,552970,949430,627012
2012-06-01,670283,1400494,481624,616945,587048
2012-07-01,657386,1474030,495432,1077344,588237
2012-08-01,422244,1341112,529251,926812,493042
2012-09-01,544203,1508957,333522,906441,594728
2012-10-01,627867,1623938,449855,470431,550518
2012-11-01,667905,1477406,336191,1328509,593565
2012-12-01,532362,1458831,414543,1175517,652932
2013-01-01,572591,1258259,406949,1383277,507984
2013-02-01,482701,1521170,309099,1588836,576480
2013-03-01,595914,1502739,289210,477519,547532
2013-04-01,672563,1435379,427892,807592,618308
2013-05-01,509897,1219298,355007,798785,509493
2013-06-01,733630,1514112,297315,263909,532359
2013-07-01,553445,1593824,501672,904604,609995
2013-08-01,432785,1210516,305386,498005,401656
2013-09-01,443591,1525384,416346,352875,572789
2013-10-01,467103,1569371,413921,419853,542457
2013-11-01,604912,1508350,448765,563456,516803
2013-12-01,512858,1497668,607905,550558,497051
2014-01-01,434466,1126931,333123,876105,441909
2014-02-01,516875,1358129,326501,595996,424284
2014-03-01,568675,1483457,478145,299484,523881
2014-04-01,593522,1870626,453324,544592,455479
2014-05-01,450441,1517936,456156,2740011,519681
2014-06-01,511642,1370689,521769,601102,476336
2014-07-01,396318,1182536,367050,605467,420993
2014-08-01,226638,1205304,378046,516467,410703
2014-09-01,406594,1581760,469906,497665,488160
2014-10-01,390781,1506027,437680,590753,498903
2014-11-01,407066,1373281,387668,1464097,477358
2014-12-01,416838,1318356,505741,1452321,571487
2015-01-01,381422,1049355,356808,1156768,429006
2015-02-01,298277,1027689,329570,1355992,436385
2015-03-01,337659,1366393,469360,425944,481108
2015-04-01,315285,1261200,445081,943774,433361
2015-05-01,327046,1277199,445924,853479,485833
2015-06-01,327053,1121858,468755,581668,470373
2015-07-01,283789,1005583,334224,524872,408592
2015-08-01,367149,1031282,434676,540039,474656
2015-09-01,225637,1319076,316675,404850,462049
2015-10-01,316642,1094509,452199,347068,506145
2015-11-01,370840,1384017,552764,440496,455988
2015-12-01,307446,1513781,577300,449410,552819
2016-01-01,311884,868641,316352,817100,404379
2016-02-01,314183,1102717,366394,921132,459670
2016-03-01,399136,1022590,527076,869116,521834
2016-04-01,307990,1086082,408341,607712,461506
2016-05-01,371844,1138368,406258,712406,517502
2016-06-01,306229,1149272,448031,676217,492606
2016-07-01,190177,784733,305203,684689,345479
2016-08-01,319206,991419,405212,691104,481518
2016-09-01,266774,1008822,403677,725497,512969
2016-10-01,311308,1061367,456730,700430,496455
2016-11-01,349148,1198905,622043,705677,501055
2016-12-01,341117,1101190,376610,710535,480068
2017-01-01,333858,744184,485128,705547,456156
2017-02-01,371885,1193572,340822,703012,462687
2017-03-01,586994,1323313,400853,706365,458884
2017-04-01,500989,1136596,408934,704975,472292
2017-05-01,486623,1062147,793861,704784,497508
2017-06-01,346537,703716,631067,705374,413607
2017-07-01,504937,637469,543467,705044,417708
2017-08-01,389782,892961,656132,705067,451910
2017-09-01,330813,1113554,842093,705162,406413
2017-10-01,266379,1184645,680564,604565,456164
2017-11-01,434919,1151279,906075,671598,524242
2017-12-01,410282,1135784,928935,668570,457089
2018-01-01,147379,953261,508225,648244,485052
2018-02-01,119990,1077080,512176,592440,469011
2018-03-01,180703,1015257,649779,844200,478417
2018-04-01,222512,1207871,538508,694961,459047
2018-05-01,174402,1058804,649560,710534,491155
2018-06-01,157185,784147,467537,749898,370296
2018-07-01,281527,912450,450704,718464,562121
2018-08-01,321129,984217,514668,726299,467407
2018-09-01,204371,768384,641131,726299,456164
2018-10-01,327048,1206827,177369,723687,518520
2018-11-01,301434,815213,225708,725428,498739
2018-12-01,333584,1437551,512983,725138,386669
2019-01-01,1887689,763124,397347,724751,569213
2019-02-01,1368005,977520,571680,725106,556910
2019-03-01,1550873,873267,460537,762666,541190
2019-04-01,4806260,361172,520494,737508,417843
2019-05-01,328878,1003512,551776,741760,559710
2019-06-01,142426,654755,480318,747311,274742
2019-07-01,215702,904380,587648,742193,594181
2019-08-01,161914,870242,685394,743755,532788
2019-09-01,166453,1040071,593430,744420,537209
2019-10-01,177052,1143043,465808,743456,617914
2019-11-01,225531,1117046,837060,743877,518354
2019-12-01,215973,1216731,659040,771061,528281
2020-01-01,205161,755984,165180,768572,527178
2020-02-01,152296,931176,527670,761170,455835
2020-03-01,114157,913326,576249,766934,543367
2020-04-01,119834,895367,477108,754241,395788
2020-05-01,144090,612720,481606,760782,298464
2020-06-01,123556,785763,408775,756062,418735
2020-07-01,143523,779826,472024,757028,492036
2020-08-01,218643,802052,467899,757957,500008
2020-09-01,175215,892342,568257,764097,553778
2020-10-01,226658,826470,486842,776246,507637
2020-11-01,202326,952759,530748,781389,536242
2020-12-01,235450,1032106,544595,789366,530305
2021-01-01,253605,882381,474420,792286,480454
2021-02-01,200876,787909,488462,785631,517568
2021-03-01,277053,1019128,559733,799917,498094
