tgl,Belawan,Tanjung Priok,Tanjung Perak,Balikpapan,Makassar
2006-01-01,45216,404636,553117,974771,189610
2006-02-01,44787,387675,595508,803966,242226
2006-03-01,62019,567709,657972,704835,218405
2006-04-01,44570,419367,585496,777277,247885
2006-05-01,44978,474604,935875,861067,206813
2006-06-01,46095,465584,826977,832868,221806
2006-07-01,46787,492530,735096,965962,197311
2006-08-01,37976,537212,1197423,840162,220756
2006-09-01,48394,589335,1159709,506097,192434
2006-10-01,44763,407492,1098638,849027,175556
2006-11-01,41559,622148,901678,955105,256808
2006-12-01,31458,580122,1239383,1052717,183255
2007-01-01,53465,383471,1059106,779174,187055
2007-02-01,140561,428255,1180132,1276696,185134
2007-03-01,49977,567639,1017597,750420,218583
2007-04-01,42486,623092,1077882,533234,240976
2007-05-01,49028,573148,1032537,949962,242787
2007-06-01,60695,554217,1059715,891416,225834
2007-07-01,99221,580409,1209996,1106194,235534
2007-08-01,69343,657738,1243154,1491154,235499
2007-09-01,128147,690202,1330792,1344342,264656
2007-10-01,87977,510527,887412,1256121,192520
2007-11-01,112056,636433,1259805,1639201,300196
2007-12-01,81330,619471,1252168,1377499,178445
2008-01-01,87225,598959,705980,1584589,293265
2008-02-01,121863,513469,703623,1366868,271756
2008-03-01,62439,605368,750269,1271409,310842
2008-04-01,68680,648924,879508,1237883,416003
2008-05-01,80716,696196,737844,1029709,306009
2008-06-01,110354,709685,811667,287557,252959
2008-07-01,127439,691330,877037,906436,313709
2008-08-01,104129,694165,880769,762536,229251
2008-09-01,112274,611484,812659,1093943,170719
2008-10-01,87184,550409,624138,624024,194593
2008-11-01,129462,539556,871872,804504,272021
2008-12-01,95054,491576,807642,673058,262945
2009-01-01,85414,576180,735785,695790,258590
2009-02-01,73737,558041,779618,693472,211183
2009-03-01,84288,600196,702620,723675,224339
2009-04-01,110095,548183,671532,793173,384973
2009-05-01,108411,748331,731522,718989,342793
2009-06-01,137001,769973,675006,417039,433309
2009-07-01,115150,824399,742259,834113,323581
2009-08-01,113442,815065,821684,833633,351601
2009-09-01,87855,502887,694381,718151,253758
2009-10-01,94923,701704,702620,500282,320436
2009-11-01,91505,821779,842479,751942,260740
2009-12-01,114369,874537,729688,537746,346254
2010-01-01,96055,759907,720058,780390,271428
2010-02-01,86820,739332,724038,687345,438321
2010-03-01,75879,778261,639466,732021,392669
2010-04-01,66379,804779,674251,757495,431439
2010-05-01,91480,845158,718366,901628,470692
2010-06-01,96913,969556,713987,745849,352691
2010-07-01,127248,783117,733373,1053969,357696
2010-08-01,102673,945510,700852,914721,355371
2010-09-01,78557,691968,555034,914114,372569
2010-10-01,98571,824952,718363,722770,393195
2010-11-01,86817,814403,779463,476985,389939
2010-12-01,121568,944094,721102,749165,375498
2011-01-01,87611,832107,737074,771736,258577
2011-02-01,67848,866454,649863,711936,265653
2011-03-01,125993,1139025,589233,706347,378846
2011-04-01,87681,1080788,457834,483553,330212
2011-05-01,89041,1066864,373153,400958,294340
2011-06-01,123907,1044480,521745,569009,323512
2011-07-01,158766,1162957,547455,607471,328513
2011-08-01,65630,971162,500267,698097,362408
2011-09-01,60669,1062358,398504,723651,361794
2011-10-01,55463,1161837,534833,759721,380151
2011-11-01,86860,1150790,521900,780809,387128
2011-12-01,88824,1302325,519681,652043,318503
2012-01-01,61469,1168501,477028,668928,446510
2012-02-01,56384,1175847,494755,680006,358588
2012-03-01,80729,1247308,465570,599751,362479
