tgl,Belawan,Tanjung Priok,Tanjung Perak,Balikpapan,Makassar
01/01/2006,45216,404636,553117,974771,189610
02/01/2006,44787,387675,595508,803966,242226
03/01/2006,62019,567709,657972,704835,218405
04/01/2006,44570,419367,585496,777277,247885
05/01/2006,44978,474604,935875,861067,206813
06/01/2006,46095,465584,826977,832868,221806
07/01/2006,46787,492530,735096,965962,197311
08/01/2006,37976,537212,1197423,840162,220756
09/01/2006,48394,589335,1159709,506097,192434
10/01/2006,44763,407492,1098638,849027,175556
11/01/2006,41559,622148,901678,955105,256808
12/01/2006,31458,580122,1239383,1052717,183255
01/01/2007,53465,383471,1059106,779174,187055
02/01/2007,140561,428255,1180132,1276696,185134
03/01/2007,49977,567639,1017597,750420,218583
04/01/2007,42486,623092,1077882,533234,240976
05/01/2007,49028,573148,1032537,949962,242787
06/01/2007,60695,554217,1059715,891416,225834
07/01/2007,99221,580409,1209996,1106194,235534
08/01/2007,69343,657738,1243154,1491154,235499
09/01/2007,128147,690202,1330792,1344342,264656
10/01/2007,87977,510527,887412,1256121,192520
11/01/2007,112056,636433,1259805,1639201,300196
12/01/2007,81330,619471,1252168,1377499,178445
01/01/2008,87225,598959,705980,1584589,293265
02/01/2008,121863,513469,703623,1366868,271756
03/01/2008,62439,605368,750269,1271409,310842
04/01/2008,68680,648924,879508,1237883,416003
05/01/2008,80716,696196,737844,1029709,306009
06/01/2008,110354,709685,811667,287557,252959
07/01/2008,127439,691330,877037,906436,313709
08/01/2008,104129,694165,880769,762536,229251
09/01/2008,112274,611484,812659,1093943,170719
10/01/2008,87184,550409,624138,624024,194593
11/01/2008,129462,539556,871872,804504,272021
12/01/2008,95054,491576,807642,673058,262945
01/01/2009,85414,576180,735785,695790,258590
02/01/2009,73737,558041,779618,693472,211183
03/01/2009,84288,600196,702620,723675,224339
04/01/2009,110095,548183,671532,793173,384973
05/01/2009,108411,748331,731522,718989,342793
06/01/2009,137001,769973,675006,417039,433309
07/01/2009,115150,824399,742259,834113,323581
08/01/2009,113442,815065,821684,833633,351601
09/01/2009,87855,502887,694381,718151,253758
10/01/2009,94923,701704,702620,500282,320436
11/01/2009,91505,821779,842479,751942,260740
12/01/2009,114369,874537,729688,537746,346254
01/01/2010,96055,759907,720058,780390,271428
02/01/2010,86820,739332,724038,687345,438321
03/01/2010,75879,778261,639466,732021,392669
04/01/2010,66379,804779,674251,757495,431439
05/01/2010,91480,845158,718366,901628,470692
06/01/2010,96913,969556,713987,745849,352691
07/01/2010,127248,783117,733373,1053969,357696
08/01/2010,102673,945510,700852,914721,355371
09/01/2010,78557,691968,555034,914114,372569
10/01/2010,98571,824952,718363,722770,393195
11/01/2010,86817,814403,779463,476985,389939
12/01/2010,121568,944094,721102,749165,375498
01/01/2011,87611,832107,737074,771736,258577
02/01/2011,67848,866454,649863,711936,265653
03/01/2011,125993,1139025,589233,706347,378846
04/01/2011,87681,1080788,457834,483553,330212
05/01/2011,89041,1066864,373153,400958,294340
06/01/2011,123907,1044480,521745,569009,323512
07/01/2011,158766,1162957,547455,607471,328513
08/01/2011,65630,971162,500267,698097,362408
09/01/2011,60669,1062358,398504,723651,361794
10/01/2011,55463,1161837,534833,759721,380151
11/01/2011,86860,1150790,521900,780809,387128
12/01/2011,88824,1302325,519681,652043,318503
01/01/2012,61469,1168501,477028,668928,446510
02/01/2012,56384,1175847,494755,680006,358588
03/01/2012,80729,1247308,465570,599751,362479
04/01/2012,76053,1230408,525266,579593,367249
05/01/2012,79892,1319772,609756,389881,416956
06/01/2012,86731,1313780,479686,518928,362665
07/01/2012,97129,1331926,582794,863274,507666
08/01/2012,45521,973208,484478,1329271,475278
09/01/2012,82045,1099699,549271,895059,412297
10/01/2012,103833,1207661,601780,737869,362490
11/01/2012,104788,1081239,599913,803597,394107
12/01/2012,43111,1105982,630557,946820,341579
01/01/2013,51495,1090346,497284,807921,278099
02/01/2013,86728,1124405,513828,1041815,332132
03/01/2013,47465,989212,427144,1230068,386969
04/01/2013,59434,990118,526165,1123020,395204
05/01/2013,40249,1105606,536290,897811,380168
06/01/2013,63076,1540161,523342,675101,364470
07/01/2013,64456,1163945,587476,809190,367295
08/01/2013,28617,793788,315474,927055,323013
09/01/2013,33812,1224604,542812,1104460,503032
10/01/2013,60346,1300349,453084,739504,414592
11/01/2013,57654,1174929,503029,703333,404145
12/01/2013,52479,1083414,758171,642829,338186
01/01/2014,33821,956873,365977,663635,402407
02/01/2014,54333,1074286,410447,938916,362279
03/01/2014,74120,1053963,480503,239327,482014
04/01/2014,48866,1037354,461909,974421,425548
05/01/2014,28311,905165,449824,803527,415256
06/01/2014,41539,935452,539458,824382,367861
07/01/2014,33406,733537,413726,808925,384599
08/01/2014,28968,835271,413939,758672,373202
09/01/2014,19692,1062346,556697,714426,461228
10/01/2014,46970,1450358,515975,1031438,460794
11/01/2014,38528,920087,508319,872932,462348
12/01/2014,37321,955334,993996,835390,386953
01/01/2015,37185,813071,558982,903654,348481
02/01/2015,12555,764594,462240,869545,358284
03/01/2015,47618,1044705,350609,671770,350799
04/01/2015,32979,1108044,579992,785209,350817
05/01/2015,14608,1213562,423226,728485,425331
06/01/2015,10840,1166550,513400,824412,362614
07/01/2015,6677,877478,311293,779371,243047
08/01/2015,16784,1171834,424228,801883,386115
09/01/2015,16914,1297092,468662,844977,339902
10/01/2015,4656,1450065,386710,808753,383626
11/01/2015,20906,1280854,511359,818547,321859
12/01/2015,10225,1622263,477752,824100,309373
01/01/2016,38611,1042237,397479,817133,413417
02/01/2016,16715,1447500,436622,819995,328125
03/01/2016,10034,1261019,501290,724017,304890
04/01/2016,23978,1285849,460708,471800,322367
05/01/2016,19295,1260347,390177,597909,326229
06/01/2016,14094,1368864,484511,554022,299728
